disease	SnoRNA	Score
42	241	0.9999898943074689
110	19	0.9999889019932299
42	36	0.9999882859607325
9	222	0.9999848903764978
42	296	0.9999833713209746
110	21	0.9999833669084864
110	273	0.9999814383038992
110	63	0.9999814383038992
110	228	0.9999814383038992
110	219	0.9999814383038992
110	310	0.9999814383038992
74	331	0.9999813545489721
42	150	0.9974605092353109
110	29	0.9974233692736209
110	321	0.9974233692736209
42	249	0.9974078173463313
42	223	0.9974029357543419
42	135	0.9974029357543419
24	241	0.9973899868364052
42	313	0.9973876590610165
42	307	0.9973876590610165
42	277	0.9973591156223125
110	277	0.9973591156223125
42	280	0.9973591156223125
110	155	0.9973591156223125
110	280	0.9973591156223125
42	160	0.9973591156223125
110	299	0.9973591156223125
42	66	0.9973490294992238
74	223	0.9972863576083334
42	91	0.9972455819775666
42	68	0.9972455819775666
110	270	0.9972087862765423
24	120	0.9971927496897834
110	152	0.9971458504291852
110	10	0.9971023375056908
110	204	0.9970896944876212
9	223	0.9970321607576931
42	144	0.9969811013652344
42	237	0.9969811013652344
42	294	0.996968770981211
42	70	0.9968944570892544
42	243	0.9967506257066773
42	142	0.9966350798777007
110	311	0.9966314362841197
29	312	0.9965748179923416
76	312	0.9965450971329791
23	63	0.996479279922542
110	35	0.9964423312154153
23	19	0.9964113439842004
110	282	0.9964089492293229
42	287	0.9963778714843197
42	238	0.9963627413598455
42	290	0.9963627413598455
42	233	0.9963627413598455
42	197	0.9963627413598455
110	319	0.9963393693541859
53	223	0.9963275474951753
23	223	0.9963275474951753
110	66	0.9963186480266492
11	132	0.9962924474604526
23	277	0.9962725829485475
53	277	0.9962725829485475
54	247	0.996252872971526
54	78	0.996252872971526
54	63	0.996252872971526
42	231	0.9962389946003998
42	283	0.9961225344463894
42	205	0.9961129182349896
11	136	0.9960699060444211
54	331	0.9960571625756375
110	249	0.9960494948431884
42	254	0.9960374012543041
42	240	0.9960374012543041
42	246	0.9960374012543041
110	248	0.9960049596172997
110	330	0.9960049596172997
110	284	0.9960049596172997
54	277	0.9960030509930123
54	329	0.9960030509930123
54	255	0.9960030509930123
54	280	0.9960030509930123
23	36	0.9959717737742925
23	132	0.9959717737742925
23	131	0.9959717737742925
53	84	0.9958903179673179
53	204	0.9958903179673179
110	241	0.9958353448897179
23	129	0.9958322731950766
21	200	0.9958160312395367
54	56	0.9957732990920181
54	235	0.9957732990920181
54	294	0.9957422978525666
110	201	0.995718270756222
42	301	0.9956530893844917
42	201	0.9956300666598134
53	19	0.9955923503985302
76	255	0.995584671124678
54	152	0.9955404018010318
23	70	0.9955389027744989
42	134	0.995504306997427
54	62	0.9954739039552217
110	20	0.9954378369853788
110	138	0.9954378369853788
110	110	0.9954378369853788
11	269	0.9954376699970562
54	133	0.9954008848776515
23	136	0.9953870086655332
9	330	0.99536561594075
9	219	0.995310710695062
110	207	0.9952795821796228
42	332	0.9952430769233043
42	252	0.9952115121985711
24	156	0.9951988030613468
76	324	0.995198068186608
21	37	0.9951896674106178
21	329	0.9951896674106178
21	42	0.9951896674106178
21	324	0.9951896674106178
21	255	0.9951896674106178
53	50	0.9951587824368371
110	123	0.99510689974888
9	155	0.9950677285235652
9	143	0.9950677285235652
9	160	0.9950677285235652
23	95	0.99506130834572
21	274	0.9950317102920255
11	139	0.9950301008732438
21	177	0.9950004490341008
77	312	0.9949615746198981
53	35	0.9948889792193906
53	79	0.9948889792193906
23	35	0.9948889792193906
110	80	0.9948576132953683
110	6	0.9948285686163729
21	270	0.9947896698043743
54	287	0.9947682305417865
29	255	0.9947380163749482
34	236	0.9947076334235959
34	156	0.9947076334235959
21	331	0.9946997358977077
53	66	0.9946938584456981
53	99	0.9946213979335112
42	86	0.9945842713436414
42	60	0.9945842713436414
23	119	0.9945810658696711
9	177	0.9945392409638055
42	73	0.9945267951119335
54	243	0.9945200741403071
110	141	0.9945190824328071
23	10	0.9945063463418827
54	35	0.9944521995965068
11	253	0.9944235473247528
111	120	0.9944216827668899
110	289	0.9943492243592137
54	103	0.994329312455212
54	33	0.994329312455212
54	34	0.994329312455212
54	41	0.994329312455212
54	46	0.994329312455212
54	43	0.994329312455212
54	44	0.994329312455212
54	37	0.994329312455212
54	26	0.994329312455212
111	129	0.9942948737140489
21	235	0.994286487679037
23	270	0.9942555852699344
110	107	0.9942324996663828
11	163	0.9942214222319331
54	66	0.9941944927416166
54	205	0.9941929001091214
21	249	0.9941568132413635
88	207	0.9941066077379309
39	207	0.9941066077379309
54	144	0.994090012319821
54	237	0.994090012319821
42	247	0.994083717285106
42	202	0.9940616578654252
21	202	0.9940575912454073
42	204	0.9940219771456419
54	233	0.9940034867641726
54	197	0.9940034867641726
24	223	0.9939442677473298
23	133	0.9939294346908893
77	329	0.9939024606319233
11	206	0.9938975066082238
29	324	0.9938407554158841
11	91	0.9937644617230623
11	75	0.9937644617230623
34	152	0.993759230719912
53	82	0.9937384541606685
18	37	0.9937376072322155
42	236	0.9937362614856513
42	331	0.9937229271409003
42	255	0.9937154930508706
42	329	0.9937154930508706
110	329	0.9937154930508706
110	312	0.9937154930508706
21	273	0.9936741049823475
21	247	0.9936741049823475
53	49	0.993659085603801
23	21	0.9934923558349877
53	21	0.9934923558349877
110	252	0.9934819960241965
54	246	0.9933810448289264
110	143	0.9933619640345616
110	235	0.9933619640345616
24	331	0.9933444016058531
39	297	0.9933395334806475
21	299	0.9933195997436544
21	160	0.9933195997436544
42	235	0.993300655912448
42	143	0.993300655912448
54	200	0.9932882585557621
54	201	0.9932849790050764
24	114	0.9932704186568427
24	150	0.9932132722278915
23	59	0.9932110961704372
11	225	0.9931537025656967
53	10	0.9931170248354813
23	273	0.9931021527421859
53	310	0.9931021527421859
23	310	0.9931021527421859
53	219	0.9931021527421859
53	273	0.9931021527421859
23	219	0.9931021527421859
53	228	0.9931021527421859
23	228	0.9931021527421859
110	168	0.9930810073700965
21	56	0.9930541473990538
21	143	0.9930541473990538
11	146	0.993037698269162
9	99	0.9929904897610315
53	80	0.9929512625597284
24	249	0.9929166178760718
23	311	0.992885771475277
9	249	0.992879862852633
54	20	0.9927694172076084
54	110	0.9927694172076084
54	122	0.9927694172076084
23	160	0.9927571824117934
23	155	0.9927571824117934
53	155	0.9927571824117934
23	280	0.9927571824117934
53	280	0.9927571824117934
53	160	0.9927571824117934
23	299	0.9927571824117934
53	299	0.9927571824117934
110	70	0.9927472168796739
53	321	0.9927234175217782
53	135	0.9927234175217782
23	135	0.9927234175217782
23	321	0.9927234175217782
23	29	0.9927234175217782
53	29	0.9927234175217782
11	333	0.9926849884620712
11	167	0.9926849884620712
11	315	0.9926849884620712
24	238	0.9926744097322892
53	270	0.9926221684493263
74	177	0.9926163258100122
6	27	0.9925033391069683
23	28	0.9924308204257839
23	101	0.9924308204257839
24	312	0.9923755159950348
53	92	0.9923747408759713
54	80	0.9923563307547855
54	202	0.9923334041456816
23	56	0.9923260606140423
53	56	0.9923260606140423
21	156	0.9923086914109908
21	236	0.9923086914109908
34	301	0.9922298373922321
24	282	0.9922199468804125
82	72	0.9921724835670802
4	31	0.9921637929734184
110	274	0.9921415337473136
11	275	0.9920861688295963
11	281	0.9920861688295963
11	276	0.9920861688295963
11	174	0.9920861688295963
53	152	0.9920776871186751
23	152	0.9920776871186751
21	6	0.9920695576687095
110	68	0.9919960025121546
